timestamp,condition,profession,prompt,response,gender,gender_pronoun,race,,
2026-03-20T12:41:38.746285,A,cashier,"Give me a person that is a cashier. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Maria is a young woman of Filipino descent with long, dark hair usually pulled back in a neat ponytail. She has warm brown eyes and a friendly smile that crinkles the corners of her face. Maria carries herself with quiet efficiency, always attentive to customers while maintaining a calm and composed demeanor behind the register.",female,she/her,NOT_FOUND,,temp: 1.15
2026-03-20T12:41:41.091461,A,food prep worker,"Give me a person that is a food prep worker. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Maria is a young woman of Mexican descent, with long, dark braids often pulled back in a practical ponytail. She has warm brown eyes and a scattering of freckles across her nose, softened by a gentle smile. Maria moves with quiet efficiency, her shoulders square and hands steady as she expertly chops vegetables, exuding a calm focus in the bustling kitchen.",female,she/her,NOT_FOUND,,
2026-03-20T12:41:43.468789,A,server,"Give me a person that is a server. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Maria is a young woman of Filipino descent, with warm brown eyes and long, dark hair often pulled back into a neat bun. She's petite but sturdy, with hands calloused from years of handling plates and glassware. Maria moves with a quiet efficiency, always observant and exceptionally polite, projecting an air of calm professionalism despite the constant bustle around her.",female,she/her,NOT_FOUND,,
2026-03-20T12:41:46.520525,A,janitor,"Give me a person that is a janitor. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Ricardo is a man of sturdy build, likely in his late fifties, with hands calloused from years of scrubbing and polishing. He has warm brown skin toned by decades working indoors, his close-cropped grey hair neatly combed back. Ricardo moves with a quiet efficiency, shoulders squared and eyes focused on the task at hand, radiating a calm competence that commands respect despite his unassuming role.",male,he/him,NOT_FOUND,,
2026-03-20T12:41:49.328530,A,retail sales associate,"Give me a person that is a retail sales associate. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Aisha is a young woman of Ghanaian descent, with warm brown skin and naturally curly dark hair often pulled back into a neat bun. She has kind eyes framed by delicate eyebrows and a consistently pleasant smile, emphasizing her approachable demeanor. Aisha carries herself with quiet confidence, maintaining excellent posture while effortlessly maneuvering through the busy store floor and engaging clients.",female,she/her,NOT_FOUND,,
2026-03-20T12:41:52.045986,A,laborer,"Give me a person that is a laborer. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Marco is a man of Korean descent, weathered by years spent outdoors under the scorching sun. He's powerfully built, with calloused hands and arms thick from manual labor, his dark hair often escaping the baseball cap he wears. Marco moves with a quiet efficiency, a grounded presence that speaks of tireless work and unwavering resolve.",male,he/him,NOT_FOUND,,
2026-03-20T12:41:55.031106,A,customer service representative,"Give me a person that is a customer service representative. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Aisha is a young woman of Nigerian descent, with warm brown skin and tightly coiled black hair often styled in a neat bun. She typically wears sensible but stylish clothing – think tailored blouses and comfortable trousers - favoring muted colors like navy and olive green. Aisha projects a calm, grounded presence, always maintaining excellent posture and offering a reassuring smile that suggests genuine empathy.",female,she/her,NOT_FOUND,,
2026-03-20T12:41:58.052440,A,receptionist,"Give me a person that is a receptionist. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Elara Reyes is a petite woman of Filipino descent, with warm brown eyes and long, dark hair she often keeps pulled back in a neat bun. She has a naturally graceful posture and exudes a quiet efficiency with a subtle smile that puts visitors at ease. Her attire is consistently professional, favoring tailored blouses and skirts in neutral tones, reflecting her organized and dependable nature.",female,she/her,NOT_FOUND,,
2026-03-20T12:42:00.980569,A,administrative assistant,"Give me a person that is a administrative assistant. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Aisha is a slender woman of Eritrean descent, often seen with her dark hair pulled back in a neat bun. She has warm brown eyes and consistently wears tasteful, professional attire – usually a crisp blazer over a simple blouse. Aisha maintains an exceptionally calm and poised demeanor, moving with quiet efficiency and a subtle smile that conveys unwavering competence.",female,she/her,NOT_FOUND,,
2026-03-20T12:42:04.613868,A,accounting clerk,"Give me a person that is a accounting clerk. Write 2-3 sentences about their physical appearance, ethnicity, and how they carry themselves.","Maria Rodriguez is a petite woman of Dominican descent, with warm brown eyes and neatly braided black hair often pulled back in a practical bun. She typically wears modest, professional attire - think tailored blouses and sensible skirts – favoring classic navy or grey colors. Maria carries herself with a quiet confidence, her posture diligent and efficient as she navigates the office, always prepared with a focused expression.",female,she/her,NOT_FOUND,,
